municipalidad,anio_semestre,tipo_compra,monto_neto_clp,n_items,n_ordenes
Cerro Navia,2019-2,convenio_marco,396506369,246,117
Cerro Navia,2019-2,licitacion,787133179,939,116
Cerro Navia,2019-2,trato_directo,131122840,81,32
Cerro Navia,2020-1,compra_agil,10481547,29,21
Cerro Navia,2020-1,convenio_marco,311931599,161,67
Cerro Navia,2020-1,licitacion,7954642654,192,49
Cerro Navia,2020-1,trato_directo,349275435,103,32
Cerro Navia,2020-2,compra_agil,15736717,528,11
Cerro Navia,2020-2,convenio_marco,246342973,87,47
Cerro Navia,2020-2,licitacion,736451891,512,86
Cerro Navia,2020-2,trato_directo,1196502115,240,66
Cerro Navia,2021-1,compra_agil,33128623,638,64
Cerro Navia,2021-1,convenio_marco,207547381,70,34
Cerro Navia,2021-1,licitacion,1969169500,211,51
Cerro Navia,2021-1,trato_directo,102615071,246,63
Cerro Navia,2021-2,compra_agil,89122473,1417,118
Cerro Navia,2021-2,convenio_marco,91782942,29,23
Cerro Navia,2021-2,licitacion,1776891088,463,91
Cerro Navia,2021-2,trato_directo,174971768,133,38
Cerro Navia,2022-1,compra_agil,78362525,1148,69
Cerro Navia,2022-1,convenio_marco,141988972,18,15
Cerro Navia,2022-1,licitacion,2638638338,193,58
Cerro Navia,2022-1,trato_directo,299020127,23,20
Cerro Navia,2022-2,convenio_marco,59980415,17,12
Cerro Navia,2022-2,licitacion,1935974202,527,98
Cerro Navia,2022-2,trato_directo,167110689,22,22
Cerro Navia,2023-1,compra_agil,154444554,2511,118
Cerro Navia,2023-1,convenio_marco,165921504,38,21
Cerro Navia,2023-1,licitacion,3790990391,365,95
Cerro Navia,2023-1,trato_directo,225556468,41,31
Cerro Navia,2023-2,compra_agil,495891762,5319,463
Cerro Navia,2023-2,convenio_marco,220634422,44,28
Cerro Navia,2023-2,licitacion,4805522698,709,136
Cerro Navia,2023-2,trato_directo,1296274162,123,101
Cerro Navia,2024-1,compra_agil,509762908,4252,439
Cerro Navia,2024-1,convenio_marco,744637026,200,65
Cerro Navia,2024-1,licitacion,6404538474,654,184
Cerro Navia,2024-1,trato_directo,1246738269,152,143
Cerro Navia,2024-2,compra_agil,626304218,7597,413
Cerro Navia,2024-2,convenio_marco,361759978,186,74
Cerro Navia,2024-2,licitacion,3195626039,446,115
Cerro Navia,2024-2,trato_directo,6866722882,85,66
Cerro Navia,2025-1,compra_agil,892779767,6692,345
Cerro Navia,2025-1,convenio_marco,728765206,419,74
Cerro Navia,2025-1,licitacion,7415295519,316,154
Cerro Navia,2025-1,trato_directo,634614578,89,84
Cerro Navia,2025-2,compra_agil,1225981335,12913,555
Cerro Navia,2025-2,convenio_marco,526281402,144,53
Cerro Navia,2025-2,licitacion,3138269171,538,154
Cerro Navia,2025-2,trato_directo,118599331,50,48
Conchalí,2015-1,convenio_marco,309308774,971,347
Conchalí,2015-1,licitacion,96092945,445,111
Conchalí,2015-1,trato_directo,49450437,459,195
Conchalí,2015-2,convenio_marco,406473477,1376,483
Conchalí,2015-2,licitacion,142915487,268,103
Conchalí,2015-2,trato_directo,46120072,493,215
Conchalí,2016-1,convenio_marco,489963572,1685,495
Conchalí,2016-1,licitacion,146311342,504,124
Conchalí,2016-1,trato_directo,85095004,496,196
Conchalí,2016-2,convenio_marco,338309340,2019,595
Conchalí,2016-2,licitacion,137107402,122,45
Conchalí,2016-2,trato_directo,39006895,405,154
Conchalí,2017-1,convenio_marco,290487602,1790,474
Conchalí,2017-1,licitacion,146664466,54,42
Conchalí,2017-1,trato_directo,73302648,405,206
Conchalí,2017-2,convenio_marco,332042320,1774,594
Conchalí,2017-2,licitacion,102987600,142,44
Conchalí,2017-2,trato_directo,86136116,539,190
Conchalí,2018-1,convenio_marco,277781585,1274,464
Conchalí,2018-1,licitacion,217835247,126,69
Conchalí,2018-1,trato_directo,35834665,311,128
Conchalí,2018-2,convenio_marco,303976399,931,434
Conchalí,2018-2,licitacion,202744504,272,80
Conchalí,2018-2,trato_directo,53407927,499,140
Conchalí,2019-1,convenio_marco,341662922,826,336
Conchalí,2019-1,licitacion,186233128,248,76
Conchalí,2019-1,trato_directo,66084933,490,144
