municipalidad,anio_semestre,tipo_compra,RubroN1,monto_neto_clp,n_items,n_ordenes
Cerrillos,2015-1,licitacion,Productos químicos industriales,3662657,39,10
Cerrillos,2015-1,licitacion,"Resinas, cauchos, espumas y elastómeros",799950,4,3
Cerrillos,2015-1,licitacion,"Ropa, maletas y productos de aseo personal",9633738,26,16
Cerrillos,2015-1,licitacion,"Salud, servicios sanitarios y alimentación",1829137,2,2
Cerrillos,2015-1,licitacion,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",427000,1,1
Cerrillos,2015-1,licitacion,Servicios básicos y de información pública,1259900,4,3
Cerrillos,2015-1,licitacion,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",925200,1,1
Cerrillos,2015-1,licitacion,Servicios de construcción y mantenimiento,12304068,18,14
Cerrillos,2015-1,licitacion,Servicios de limpieza industrial,789000,1,1
Cerrillos,2015-1,licitacion,Servicios de producción y fabricación industrial,2580306,4,4
Cerrillos,2015-1,licitacion,"Servicios de transporte, almacenaje y correo",83260727,6,6
Cerrillos,2015-1,licitacion,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",12895188,7,7
Cerrillos,2015-1,licitacion,"Servicios profesionales, administrativos y consultorías de gestión empresarial",300000,1,1
Cerrillos,2015-1,licitacion,"Tecnologías de la información, telecomunicaciones y radiodifusión",11153805,24,15
Cerrillos,2015-1,licitacion,Vehículos y equipamiento en general,2397318,11,11
Cerrillos,2015-1,trato_directo,Artículos de fabricación y producción,70800,2,1
Cerrillos,2015-1,trato_directo,"Artículos para estructuras, obras y construcciones",13369100,6,5
Cerrillos,2015-1,trato_directo,"Combustibles, lubricantes y anticorrosivos",1942514,4,2
Cerrillos,2015-1,trato_directo,Equipamiento y suministros médicos,7980,1,1
Cerrillos,2015-1,trato_directo,"Equipos y suministros de defensa, orden público, protección y seguridad",250800,1,1
Cerrillos,2015-1,trato_directo,"Equipos y suministros de imprenta, fotográficos y audiovisuales",352758,2,1
Cerrillos,2015-1,trato_directo,Equipos y suministros de limpieza,53880,1,1
Cerrillos,2015-1,trato_directo,"Equipos, accesorios y suministros de oficina",319897,4,3
Cerrillos,2015-1,trato_directo,"Equipos, suministros y accesorios deportivos y recreativos",1696673,5,3
Cerrillos,2015-1,trato_directo,Herramientas y maquinaria en general,219655,3,1
Cerrillos,2015-1,trato_directo,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",27980,1,1
Cerrillos,2015-1,trato_directo,Muebles y mobiliario,1450760,4,1
Cerrillos,2015-1,trato_directo,"Muebles, accesorios, electrodomésticos y productos electrónicos",3194644,15,2
Cerrillos,2015-1,trato_directo,"Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública",38668717,6,6
Cerrillos,2015-1,trato_directo,Productos de papel,3437586,6,6
Cerrillos,2015-1,trato_directo,Productos químicos industriales,260000,1,1
Cerrillos,2015-1,trato_directo,"Ropa, maletas y productos de aseo personal",29899370,6,5
Cerrillos,2015-1,trato_directo,"Salud, servicios sanitarios y alimentación",205340,1,1
Cerrillos,2015-1,trato_directo,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",4941000,2,2
Cerrillos,2015-1,trato_directo,Servicios básicos y de información pública,1084000,1,1
Cerrillos,2015-1,trato_directo,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",5040000,1,1
Cerrillos,2015-1,trato_directo,Servicios de construcción y mantenimiento,19314173,2,2
Cerrillos,2015-1,trato_directo,Servicios de producción y fabricación industrial,330598,1,1
Cerrillos,2015-1,trato_directo,"Servicios de transporte, almacenaje y correo",48867593,4,4
Cerrillos,2015-1,trato_directo,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",637920,4,4
Cerrillos,2015-1,trato_directo,"Servicios financieros, pensiones y seguros",197017,1,1
Cerrillos,2015-1,trato_directo,"Servicios profesionales, administrativos y consultorías de gestión empresarial",30236058,10,10
Cerrillos,2015-1,trato_directo,"Tecnologías de la información, telecomunicaciones y radiodifusión",3005500,2,2
Cerrillos,2015-1,trato_directo,Vehículos y equipamiento en general,1791000,2,2
Cerrillos,2015-2,convenio_marco,"Alimentos, bebidas y tabaco",46137147,245,41
Cerrillos,2015-2,convenio_marco,Artículos de fabricación y producción,865630,51,40
Cerrillos,2015-2,convenio_marco,Artículos eléctricos y de iluminación,212667,8,5
Cerrillos,2015-2,convenio_marco,"Artículos para estructuras, obras y construcciones",3114708,6,6
Cerrillos,2015-2,convenio_marco,Artículos para plantas y animales,626988,5,4
Cerrillos,2015-2,convenio_marco,"Combustibles, lubricantes y anticorrosivos",1301316,5,3
Cerrillos,2015-2,convenio_marco,"Educación, formación, entrenamiento y capacitación",9161100,3,3
Cerrillos,2015-2,convenio_marco,"Equipamiento para el acondicionamiento, distribución y filtrado de fluidos",3123331,8,8
Cerrillos,2015-2,convenio_marco,Equipamiento para laboratorios,86306,12,10
Cerrillos,2015-2,convenio_marco,Equipamiento y suministros médicos,3903671,21,15
Cerrillos,2015-2,convenio_marco,"Equipos y suministros de defensa, orden público, protección y seguridad",5411535,38,36
Cerrillos,2015-2,convenio_marco,"Equipos y suministros de imprenta, fotográficos y audiovisuales",184661,4,4
Cerrillos,2015-2,convenio_marco,Equipos y suministros de limpieza,8575154,184,31
Cerrillos,2015-2,convenio_marco,"Equipos, accesorios y suministros de oficina",48211781,797,195
Cerrillos,2015-2,convenio_marco,Herramientas y maquinaria en general,1157024,12,8
Cerrillos,2015-2,convenio_marco,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",3998360,93,54
Cerrillos,2015-2,convenio_marco,Maquinaria para fabricación y transformación industrial,266423,9,9
Cerrillos,2015-2,convenio_marco,Maquinaria para generación y distribución de energía,1455481,15,9
Cerrillos,2015-2,convenio_marco,"Maquinarias, equipos y suministros para la industria de servicios",3240,1,1
Cerrillos,2015-2,convenio_marco,Muebles y mobiliario,24744777,120,80
Cerrillos,2015-2,convenio_marco,"Muebles, accesorios, electrodomésticos y productos electrónicos",4681720,80,42
Cerrillos,2015-2,convenio_marco,"Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública",4969262,12,12
Cerrillos,2015-2,convenio_marco,Productos de papel,41882085,374,134
Cerrillos,2015-2,convenio_marco,"Productos derivados de minerales, plantas y animales",1587000,1,1
Cerrillos,2015-2,convenio_marco,Productos impresos y publicaciones,19550075,96,39
Cerrillos,2015-2,convenio_marco,Productos químicos industriales,577440,35,20
Cerrillos,2015-2,convenio_marco,"Resinas, cauchos, espumas y elastómeros",3070400,8,8
Cerrillos,2015-2,convenio_marco,"Ropa, maletas y productos de aseo personal",3620974,66,30
Cerrillos,2015-2,convenio_marco,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",13941450,3,3
